year,fips,democrat,green,nonaffiliated,republican,votetotal,percent
2000,13233,4112,26,137,5841,10116,17.09173586
2000,13235,1390,2,32,1922,3346,15.89958159
2000,13237,2612,20,71,3596,6299,15.62152723
2000,13239,542,0,14,348,904,21.46017699
2000,13241,1776,31,83,3451,5341,31.36116832
2000,13243,1381,0,14,1174,2569,8.057609965
2000,13245,31413,175,465,25485,57538,10.30275644
2000,13247,8295,159,755,15440,24649,28.98697716
2000,13249,460,1,9,706,1176,20.91836735
2000,13251,2233,3,22,2461,4719,4.831532104
2000,13253,1313,0,27,1537,2877,7.785888078
2000,13255,5831,8,281,9271,15391,22.35072445
2000,13257,2869,9,128,5370,8376,29.8591213
2000,13259,1267,0,12,675,1954,30.29682702
2000,13261,4748,40,62,4847,9697,1.02093431
2000,13263,1662,3,22,844,2531,32.31924141
2000,13265,556,2,3,271,832,34.25480769
2000,13267,1963,1,49,3597,5610,29.12655971
2000,13269,1340,2,26,1412,2780,2.589928058
2000,13271,1777,1,22,1693,3493,2.404809619
2000,13273,1584,2,23,1504,3113,2.569868294
2000,13275,4862,40,63,7093,12058,18.50223918
2000,13277,3547,22,81,6678,10328,30.31564679
2000,13279,2643,13,67,4487,7210,25.57558946
2000,13281,1495,34,66,2902,4497,31.28752502
2000,13283,879,3,19,1062,1963,9.322465614
2000,13285,6379,80,147,11198,17804,27.06695125
2000,13287,1169,2,27,1258,2456,3.623778502
2000,13289,1977,4,64,1570,3615,11.25864454
2000,13291,2230,54,105,4567,6956,33.59689477
2000,13293,3158,12,93,5019,8282,22.47041777
2000,13295,6341,0,228,12326,18895,31.67504631
